Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Moneo Díez, María Sandra;Popular;PP;Burgos;16 de mayo de 2019;;
Montero Cuadrado, María Jesús;Socialista;PSOE;Sevilla;17 de mayo de 2019;;
Montero Gil, Irene María;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Madrid;14 de mayo de 2019;;
Montesinos Aguayo, Pablo;Popular;PP;Málaga;14 de mayo de 2019;;
Montesinos de Miguel, Macarena;Popular;PP;Alicante;16 de mayo de 2019;;
Montilla Martos, José Antonio;Socialista;PSOE;Granada;13 de mayo de 2019;;
Moraleja Gómez, Tristana María;Popular;PP;La Coruña;8 de mayo de 2019;;
Moreno Latorre, Joaquín;Ciudadanos;Ciudadanos;Teruel;13 de mayo de 2019;;
Morlà Florit, Pau;Socialista;PSOE;Islas Baleares;6 de mayo de 2019;;
Moro Almaraz, María Jesús;Popular;PP;Salamanca;8 de mayo de 2019;;
Movellán Lombilla, Diego;Popular;PP;Cantabria;6 de mayo de 2019;;
Moya Sanz, María Amparo;Ciudadanos;Ciudadanos;Valencia;10 de mayo de 2019;;
Muñoz Dalda, Lucía;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Islas Baleares;17 de mayo de 2019;;
Muñoz Vidal, María;Ciudadanos;Ciudadanos;Valencia;13 de mayo de 2019;;
Nacarino-Brabo Jiménez, Aurora;Ciudadanos;Ciudadanos;Burgos;13 de mayo de 2019;;
Narváez Bandera, María Dolores;Socialista;PSOE;Málaga;8 de mayo de 2019;;
Nasarre Oliva, Begoña;Socialista;PSOE;Huesca;13 de mayo de 2019;;
Navarro Lacoba, Carmen;Popular;PP;Albacete;10 de mayo de 2019;;
Nogueras i Camero, Míriam;Mixto;JxCat-JUNTS;Barcelona;17 de mayo de 2019;;
Nuet Pujals, Joan Josep;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Olano Vela, Jaime Eduardo de;Popular;PP;Lugo;13 de mayo de 2019;;
Olona Choclán, Macarena;Vox;Vox;Granada;8 de mayo de 2019;;
Oramas González-Moro, Ana María;Mixto;CC-PNC;Tenerife;8 de mayo de 2019;;
Ortega Otero, Marina;Socialista;PSdeG-PSOE;Orense;8 de mayo de 2019;;
Ortega Smith-Molina, Francisco Javier;Vox;Vox;Madrid;16 de mayo de 2019;;
Padilla Ruiz, Esther;Socialista;PSOE;Toledo;8 de mayo de 2019;;
Pastor Julián, Ana María;Popular;PP;Pontevedra;6 de mayo de 2019;;
Peña Camarero, Esther;Socialista;PSOE;Burgos;13 de mayo de 2019;;
Perea i Conillas, María Mercè;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Pérez Abellás, Adolfo;Socialista;PSdeG-PSOE;Orense;7 de mayo de 2019;;
Pérez Díaz, María Teresa;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Alicante;14 de mayo de 2019;;
Pérez Merino, Mercedes;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Madrid;9 de mayo de 2019;;
Pino Ocampo, Beatriz;Ciudadanos;Ciudadanos;Pontevedra;10 de mayo de 2019;;
Píriz Maya, Víctor Valentín;Popular;PP;Badajoz;6 de mayo de 2019;;
Pisarello Prados, Gerardo;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Barcelona;14 de mayo de 2019;;
Pita Cárdenes, María del Carmen;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Las Palmas;6 de mayo de 2019;;
Planas Puchades, Luis;Socialista;PSOE;Córdoba;13 de mayo de 2019;;
Polo Llavata, Francisco;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Pons Sampietro, Pere Joan;Socialista;PSOE;Islas Baleares;6 de mayo de 2019;;
Prendes Prendes, José Ignacio;Ciudadanos;Ciudadanos;Asturias;20 de mayo de 2019;;
Prieto Nieto, Ana;Socialista;PSdeG-PSOE;Lugo;9 de mayo de 2019;;
Prohens Rigo, Margalida;Popular;PP;Islas Baleares;7 de mayo de 2019;;
Pujol i Farré, Norma;Republicano;ERC-S;Tarragona;16 de mayo de 2019;;
Ramírez Carner, Arnau;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Ramírez del Río, José;Vox;Vox;Córdoba;17 de mayo de 2019;;
Ramírez Freire, Saúl;Ciudadanos;Ciudadanos;Las Palmas;13 de mayo de 2019;;
Ramón Utrabo, Elvira;Socialista;PSOE;Granada;10 de mayo de 2019;;
Ramos Esteban, César Joaquín;Socialista;PSOE;Cáceres;8 de mayo de 2019;;
Ramos Rodríguez, José Luis;Socialista;PSOE;Huelva;8 de mayo de 2019;;
Raya Rodríguez, María Tamara;Socialista;PSOE;Tenerife;20 de mayo de 2019;;
Renau Martínez, Germán;Socialista;PSOE;Castellón;14 de mayo de 2019;;
Reyes Rivera, Patricia;Ciudadanos;Ciudadanos;Madrid;9 de mayo de 2019;;
Ribera Rodríguez, Teresa;Socialista;PSOE;Madrid;16 de mayo de 2019;;
Riolobos Regadera, Carmen;Popular;PP;Toledo;7 de mayo de 2019;;
Rivera Andrés, Irene;Ciudadanos;Ciudadanos;Málaga;14 de mayo de 2019;;
Rivera de la Cruz, Marta María;Ciudadanos;Ciudadanos;La Coruña;10 de mayo de 2019;19 de agosto de 2019;
Rivera Díaz, Albert;Ciudadanos;Ciudadanos;Madrid;20 de mayo de 2019;;
Rivero Ortega, Enrique Víctor;Ciudadanos;Ciudadanos;Palencia;13 de mayo de 2019;;
Robles Fernández, Margarita;Socialista;PSOE;Ávila;9 de mayo de 2019;;
Robles López, Joaquín;Vox;Vox;Murcia;16 de mayo de 2019;;
Rodríguez Gómez de Celis, Alfonso;Socialista;PSOE;Sevilla;13 de mayo de 2019;;
Rodríguez Hernández, Melisa;Ciudadanos;Ciudadanos;Tenerife;10 de mayo de 2019;;
Rodríguez Rodríguez, Alberto;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Tenerife;20 de mayo de 2019;;
Rodríguez Salas, José Antonio;Socialista;PSOE;Granada;14 de mayo de 2019;;
Rojas García, Carlos;Popular;PP;Granada;8 de mayo de 2019;;
Roldán Monés, Antonio;Ciudadanos;Ciudadanos;Barcelona;20 de mayo de 2019;24 de junio de 2019;
Romero Sánchez, Rosa María;Popular;PP;Ciudad Real;13 de mayo de 2019;;
Romero Vilches, María de los Reyes;Vox;Vox;Sevilla;17 de mayo de 2019;;
Rominguera Salazar, María del Mar;Socialista;PSOE;Zamora;16 de mayo de 2019;;
Ros Martínez, Susana;Socialista;PSOE;Castellón;14 de mayo de 2019;;
Rosado Peinado, María Ángeles;Ciudadanos;Ciudadanos;Guadalajara;17 de mayo de 2019;;
Rosell Aguilar, María Victoria;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Las Palmas;7 de mayo de 2019;;
Rosety Fernández de Castro, Agustín;Vox;Vox;Cádiz;17 de mayo de 2019;;
Rosique i Saltor, Marta;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Rueda Perelló, Patricia;Vox;Vox;Málaga;17 de mayo de 2019;;
Rufián Romero, Gabriel;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Ruiz de Pinedo Undiano, Iñaki;Mixto;EH Bildu;Álava;14 de mayo de 2019;;
Ruiz i Carbonell, Joan;Socialista;PSC;Tarragona;9 de mayo de 2019;;
Ruiz López, María Concepción;Socialista;PSOE;Navarra;10 de mayo de 2019;;
Ruiz Solás, María de la Cabeza;Vox;Vox;Madrid;16 de mayo de 2019;;
Rull Andreu, Josep;Mixto;JxCat-JUNTS;Tarragona;20 de mayo de 2019;;
Saavedra Muñoz, Marisa;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Castellón;20 de mayo de 2019;;
Sáez Alonso-Muñumer, Pablo;Vox;Vox;Valladolid;16 de mayo de 2019;;
Sagastizabal Unzetabarrenetxea, Idoia;Vasco (EAJ-PNV);EAJ-PNV;Vizcaya;14 de mayo de 2019;;
Sahuquillo García, Luis Carlos;Socialista;PSOE;Cuenca;6 de mayo de 2019;;
Salazar Rodríguez, Francisco José;Socialista;PSOE;Sevilla;8 de mayo de 2019;;
Salvador i Duch, Jordi;Republicano;ERC-S;Tarragona;20 de mayo de 2019;;
Sánchez del Real, Víctor Manuel;Vox;Vox;Badajoz;16 de mayo de 2019;;
Sánchez Escobar, Mariano;Socialista;PSOE;Badajoz;13 de mayo de 2019;;
Sánchez Jódar, Marisol;Socialista;PSOE;Murcia;9 de mayo de 2019;;
Sánchez Pérez, César;Popular;PP;Alicante;9 de mayo de 2019;;
Sánchez Pérez-Castejón, Pedro;Socialista;PSOE;Madrid;17 de mayo de 2019;;
Sánchez Picanyol, Jordi;Mixto;JxCat-JUNTS;Barcelona;20 de mayo de 2019;;
Sánchez Serna, Javier;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Murcia;14 de mayo de 2019;;
Sancho Íñiguez, Herminio Rufino;Socialista;PSOE;Teruel;13 de mayo de 2019;;
Santamaría Ruiz, Luis;Popular;PP;Valencia;14 de mayo de 2019;;
Santiago Romero, Enrique Fernando;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Madrid;7 de mayo de 2019;;
Sarrià Morell, Vicent Manuel;Socialista;PSOE;Valencia;14 de mayo de 2019;;
Saura García, Pedro;Socialista;PSOE;Murcia;10 de mayo de 2019;;
Sayas López, Sergio;Mixto;Navarra Suma;Navarra;13 de mayo de 2019;;
Serrada Pariente, David;Socialista;PSOE;Salamanca;9 de mayo de 2019;;
